,date,station,NO,NO2,NOX,precipitation
0,01/01/2016,Ariel,1.5,3.8,6.1,13.6
1,02/01/2016,Ariel,1.1,4.9,6.7,7.4
2,03/01/2016,Ariel,1.4,10.8,13.0,9.0
3,04/01/2016,Ariel,1.8,9.7,12.5,0.0
4,05/01/2016,Ariel,2.1,11.8,15.1,0.0
5,06/01/2016,Ariel,2.1,13.3,16.5,0.0
6,07/01/2016,Ariel,2.0,12.8,15.8,4.2
7,08/01/2016,Ariel,1.4,5.7,7.7,58.8
8,09/01/2016,Ariel,1.2,4.6,6.4,0.0
9,10/01/2016,Ariel,1.7,12.8,15.5,0.0
10,11/01/2016,Ariel,4.6,31.0,38.0,0.0
11,12/01/2016,Ariel,1.9,16.3,19.2,0.0
12,13/01/2016,Ariel,2.9,23.4,27.9,0.0
13,14/01/2016,Ariel,2.7,18.3,22.4,0.9
14,15/01/2016,Ariel,1.9,7.8,10.7,0.0
15,16/01/2016,Ariel,1.5,7.1,9.3,0.0
16,17/01/2016,Ariel,2.0,11.9,14.9,0.0
17,18/01/2016,Ariel,2.2,9.2,12.6,0.4
18,19/01/2016,Ariel,2.1,10.55,13.75,11.7
19,20/01/2016,Ariel,1.7000000000000002,18.475,20.175,0.1
20,21/01/2016,Ariel,1.3,26.4,26.6,0.0
21,22/01/2016,Ariel,0.9,17.2,18.5,0.0
22,23/01/2016,Ariel,0.1,8.0,8.2,10.0
23,24/01/2016,Ariel,0.5,8.3,9.0,20.8
24,25/01/2016,Ariel,0.7,10.4,11.3,10.1
25,26/01/2016,Ariel,0.3,8.6,9.0,7.9
26,27/01/2016,Ariel,1.1,12.7,14.3,0.0
27,28/01/2016,Ariel,0.5,13.2,13.9,0.0
28,29/01/2016,Ariel,2.3,21.6,25.1,0.0
29,30/01/2016,Ariel,0.2,14.5,14.8,0.0
30,31/01/2016,Ariel,2.0,22.1,25.2,0.0
31,01/02/2016,Ariel,1.4,22.7,24.9,0.0
32,02/02/2016,Ariel,2.2,19.3,22.6,0.0
33,03/02/2016,Ariel,0.5,10.4,11.2,0.0
34,04/02/2016,Ariel,0.2,6.8,7.0,0.0
35,05/02/2016,Ariel,0.6,10.6,11.6,0.2
36,06/02/2016,Ariel,0.3,7.3,7.7,28.8
37,07/02/2016,Ariel,0.7,9.6,10.7,14.8
38,08/02/2016,Ariel,0.8,13.5,14.7,0.1
39,09/02/2016,Ariel,0.4,10.6,11.2,0.0
40,10/02/2016,Ariel,0.9,13.8,15.1,0.1
41,11/02/2016,Ariel,0.8,16.1,17.4,0.0
42,12/02/2016,Ariel,0.3,10.5,11.0,0.0
43,13/02/2016,Ariel,0.6,13.9,14.8,0.0
44,14/02/2016,Ariel,2.6,21.3,25.2,0.0
45,15/02/2016,Ariel,0.9,13.4,14.8,0.0
46,16/02/2016,Ariel,1.1,12.9,14.6,0.0
47,17/02/2016,Ariel,1.0,12.8,14.3,0.0
48,18/02/2016,Ariel,1.0,11.0,12.4,0.0
49,19/02/2016,Ariel,1.2,10.7,12.5,0.0
50,20/02/2016,Ariel,1.1,7.7,9.4,0.0
51,21/02/2016,Ariel,1.5,9.8,12.1,37.2
52,22/02/2016,Ariel,1.3,12.1,14.1,9.8
53,23/02/2016,Ariel,0.9,13.4,14.8,2.2
54,24/02/2016,Ariel,0.8,14.8,16.0,0.0
55,25/02/2016,Ariel,0.8,16.9,18.1,0.0
56,26/02/2016,Ariel,0.9,15.2,16.6,0.0
